strategy,category,to_die_prior,VAX,to_infect,to_infect_VAX,to_be_infected,to_die_posterior,vaccinati
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
">70: 62%, <70: 62%",gener,0.005088716101464183,1.0,0.05,0.05,0.08743143143143145,0.00044491373289918683,25%
