strategy,category,to_die_prior,VAX,to_infect,to_infect_VAX,to_be_infected,to_die_posterior
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
nessun vaccino,gener,0.005088716101464183,1.0,0.05,0.05,0.09754754754754756,0.0004963917758635482
